symbol,asset_type,direction,sector_strategy,momentum_weight,quality_weight
VTRS,stock,long,Healthcare (VTRS),0.3,0.7
VZ,stock,long,Communication Services (VZ),0.5,0.5
WAB,stock,long,Industrials (WAB),0.7,0.3
WAT,stock,long,Healthcare (WAT),0.2,0.8
WBD,stock,long,Communication Services (WBD),0.4,0.6
WDAY,stock,long,Technology (Workday),0.6,0.4
WDC,stock,long,Technology (Western Digital),0.5,0.5
WEC,stock,long,Utilities (WEC),0.4,0.6
WELL,stock,long,Real Estate (WELL),0.7,0.3
WFC,stock,long,Financials (WFC),0.3,0.7
WM,stock,long,Industrials (Waste Management),0.3,0.7
WMB,stock,long,Energy (WMB),0.7,0.3
WMT,stock,long,Consumer Defensive (Walmart),0.3,0.7
WPC,stock,long,REIT (W.P. Carey),0.3,0.7
WRB,stock,long,Financials (WRB),0.5,0.5
WSM,stock,long,Consumer Cyclical (Williams-Sonoma),0.5,0.5
WST,stock,long,Healthcare (West Pharmaceutical Services),0.4,0.6
WTW,stock,long,Financials / Insurance (Willis Towers Watson),0.4,0.6
WY,stock,long,Real Estate (WY),0.7,0.3
WYNN,stock,long,Consumer Cyclical (WYNN),0.6,0.4
XEL,stock,long,Utilities (XEL),0.5,0.5
XLG,etf,long,S&P 500 Top 50,0.5,0.5
XME,etf,long,Metals & Mining,0.8,0.2
XOM,stock,long,Energy (ExxonMobil),0.6,0.4
XYL,stock,long,Industrials (XYL),0.5,0.5
XYZ,stock,long,Placeholder / Other,0.5,0.5
YUM,stock,long,Consumer Cyclical (YUM),0.3,0.7
ZBH,stock,long,Healthcare (ZBH),0.2,0.8
ZBRA,stock,long,Technology (Zebra Technologies),0.5,0.5
ZTS,stock,long,Healthcare (ZTS),0.7,0.3
